q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009330023.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 73	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	2015	2149	2024	2079	2-57(57)	96.4	0.00092	1	2680	2024	2079	2-57(57)	86.2	0.18	1924	2179	2024	2079	2-57(57)	95.5	0.0039	57	3.7	2680	86.2	1.1e-05	43.6	2.3	1-2680	2-57	135	96.4	5.5e-08	42.6	2.3	2015-2149	2-57	2	96.60366870411202
YP_009333498.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 96	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	2168	2304	2188	2243	2-57(57)	96.6	0.0016	1	2939	2188	2243	2-57(57)	88	0.26	2088	2343	2188	2243	2-57(57)	95.8	0.0059	57	3.7	2939	88.0	1.6e-05	43.0	4.4	1-2939	2-57	137	96.6	9.5e-08	41.5	4.4	2168-2304	2-57	2	96.85550266042252
YP_009333517.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 50	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	1824	1947	1852	1904	5-57(57)	97.1	6.8e-05	1	2471	1852	1904	5-57(57)	91.1	0.035	1752	2004	1852	1904	5-57(57)	96.3	0.00058	57	3.7	2471	91.1	2.1e-06	47.9	1.1	1-2471	5-57	124	97.1	4e-09	47.5	1.1	1824-1947	5-57	2	97.17848711409042
YP_009336570.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang picorna-like virus 14	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	297	419	317	372	2-57(57)	96	0.0051	1	1054	317	372	2-57(57)	88.1	0.27	217	472	317	372	2-57(57)	94.4	0.026	57	3.7	1054	88.1	1.6e-05	39.0	4.2	1-1054	2-57	123	96.0	3e-07	38.6	4.2	297-419	2-57	2	96.10573581381486
YP_009336706.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 27	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	1950	2084	1959	2014	2-57(57)	96.4	9e-04	1	2615	1959	2014	2-57(57)	86.6	0.17	1859	2114	1959	2014	2-57(57)	95.5	0.0038	57	3.7	2615	86.6	1e-05	43.7	2.3	1-2615	2-57	135	96.4	5.4e-08	42.7	2.3	1950-2084	2-57	2	96.6231079437848
YP_009336819.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe picorna-like virus 10	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	2027	2131	2047	2097	7-57(57)	97.5	1.5e-05	1	2603	2047	2097	7-57(57)	92.9	0.017	1947	2197	2047	2097	7-57(57)	96.8	0.00019	57	3.7	2603	92.9	1e-06	50.0	1.3	1-2603	7-57	105	97.5	8.7e-10	49.5	1.3	2027-2131	7-57	2	97.56236441035655
YP_009345905.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 59	PF11492.7	Dicistro_VP4, Cricket paralysis virus, VP4	0	2	2246	2339	2250	2302	5-57(57)	97.6	8.7e-06	1	2777	2250	2302	5-57(57)	92.7	0.02	2150	2402	2250	2302	5-57(57)	96.9	0.00017	57	3.7	2777	92.7	1.2e-06	50.0	1.4	1-2777	5-57	94	97.6	5.2e-10	49.8	1.4	2246-2339	5-57	2	97.64687429247488
YP_009104371.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Carrot torradovirus 1	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	248	693	513	680	14-181(195)	96.1	0.023	1	1167	513	680	14-181(195)	94.4	0.12	413	780	513	680	14-181(195)	96.3	0.015	195	8.8	1167	94.4	7.1e-06	44.5	9.5	1-1167	14-181	446	96.1	1.4e-06	44.0	9.6	248-693	14-181	2	96.19358900291255
YP_009329824.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Bivalve RNA virus G4	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	1609	2415	1844	1976	66-187(195)	95.9	0.018	1	2415	1844	1976	66-187(195)	94	0.098	1744	2076	1844	1976	66-187(195)	96.9	0.0031	195	8.8	2415	94.0	5.9e-06	48.5	8.6	1-2415	66-187	807	95.9	1.1e-06	47.8	8.6	1609-2415	66-187	2	96.04730512354085
YP_009329824.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Bivalve RNA virus G4	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	1609	2415	2015	2200	3-188(195)	95.7	0.05	1	2415	2015	2200	3-188(195)	93.6	0.24	1915	2300	2015	2200	3-188(195)	96.5	0.018	195	8.8	2415	93.6	1.4e-05	45.8	10.6	1-2415	3-188	807	95.7	3e-06	45.1	10.6	1609-2415	3-188	2	95.89029401495605
YP_009333460.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 110	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	3	2227	2526	2321	2500	16-194(195)	96	0.0047	1	3113	2321	2500	16-194(195)	88.6	0.23	2221	2600	2321	2500	16-194(195)	95.7	0.0073	195	8.8	3113	88.6	1.4e-05	47.0	4.9	1-3113	16-194	300	96.0	2.8e-07	45.8	4.9	2227-2526	16-194	3	96.29533457714565
YP_009333602.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 2	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	3	1689	1988	1776	1963	19-187(195)	96.5	0.00035	1	2544	1779	1963	22-187(195)	90.7	0.04	1676	2063	1776	1963	19-187(195)	96.3	6e-04	195	8.8	2544	90.7	2.4e-06	51.5	1.2	1-2544	22-187	300	96.5	2.1e-08	52.1	1.2	1689-1988	19-187	3	96.45173250844383
YP_009333607.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 87	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	2180	2926	2660	2763	86-189(195)	95.2	0.0095	1	3552	2660	2763	86-189(195)	88.9	0.18	2560	2863	2660	2763	86-189(195)	96.5	0.0014	195	8.8	3552	88.9	1.1e-05	48.4	4.4	1-3552	86-189	747	95.2	5.7e-07	49.1	4.4	2180-2926	86-189	3	94.96614915395945
YP_009333607.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 87	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	2180	3552	2927	3054	68-189(195)	96	0.0016	1	3552	2927	3054	68-189(195)	94.2	0.011	2827	3154	2927	3054	68-189(195)	97.3	6.2e-05	195	8.8	3552	94.2	6.4e-07	57.2	2.6	1-3552	68-189	1373	96.0	9.3e-08	57.7	2.6	2180-3552	68-189	2	95.91269222674721
YP_009336630.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang crawfish virus 6	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	2	2169	2578	2387	2544	28-182(195)	95.2	0.063	1	2578	2387	2544	28-182(195)	89	0.8	2287	2578	2387	2544	28-182(195)	95.8	0.036	195	8.8	2578	89.0	4.8e-05	42.4	8.9	1-2578	28-182	410	95.2	3.8e-06	41.0	8.9	2169-2578	28-182	3	95.66398076616062
YP_009336687.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou bivalvia virus 1	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	3	316	615	436	574	57-189(195)	96.3	0.02	1	3398	436	574	57-189(195)	89.5	0.85	336	674	436	574	57-189(195)	96.2	0.021	195	8.8	3398	89.5	5.1e-05	43.4	9.7	1-3398	57-189	300	96.3	1.2e-06	42.2	9.7	316-615	57-189	4	96.52424164453072
YP_009337351.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 65	PF12264.7	Waikav_capsid_1, Waikavirus capsid protein 1	0	3	1984	2283	2108	2281	20-191(195)	96.6	0.0014	1	2920	2108	2281	20-191(195)	92.6	0.066	2008	2381	2108	2281	20-191(195)	96.4	0.0023	195	8.8	2920	92.6	4e-06	50.6	5.1	1-2920	20-191	300	96.6	8.5e-08	48.7	5.1	1984-2283	20-191	5	96.92243840470118
NP_835244.2	ssRNA positive-strand viruses	Closteroviridae	Closterovirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Closteroviridae, Closterovirus, unclassified Closterovirus, Grapevine rootstock stem lesion associated virus	PF12267.7	DUF3614, Protein of unknown function (DUF3614)	0	2	573	753	662	751	104-193(193)	97.1	0.00023	1	3390	662	751	104-193(193)	91.3	0.083	562	851	662	751	104-193(193)	96.5	0.0013	193	4.5	3390	91.3	4.9e-06	54.7	4.5	1-3390	104-193	181	97.1	1.4e-08	55.6	4.5	573-753	104-193	2	97.03743380299491
YP_337911.1	ssRNA positive-strand viruses	Closteroviridae	Closterovirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Closteroviridae, Closterovirus, Grapevine leafroll-associated virus 2	PF12267.7	DUF3614, Protein of unknown function (DUF3614)	0	2	574	759	678	757	115-193(193)	97.1	2e-04	1	2936	661	757	99-193(193)	92.1	0.067	578	857	678	757	115-193(193)	96.6	0.00081	193	4.5	2936	92.1	4e-06	54.7	4.8	1-2936	99-193	186	97.1	1.2e-08	56.1	3.8	574-759	115-193	2	97.04891391610991
YP_009336549.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenling nido-like virus 1	PF12380.7	Peptidase_C62, Gill-associated viral 3C-like peptidase	0	2	3128	3539	3334	3462	114-247(284)	95.3	0.01	1	6730	3334	3462	114-247(284)	89.2	0.19	3234	3562	3334	3462	114-247(284)	95.6	0.0076	284	1.1	6730	89.2	1.1e-05	54.0	5.3	1-6730	114-247	412	95.3	6.1e-07	52.9	5.3	3128-3539	114-247	2	95.66870030069563
NP_620559.1	ssRNA positive-strand viruses	Picornavirales	Iflaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Iflaviridae, Iflavirus, Infectious flacherie virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1524	2462	2242	2433	38-221(231)	96.4	0.008	1	3085	2242	2433	38-221(231)	94.6	0.061	2142	2533	2242	2433	38-221(231)	97.2	0.0012	231	10.0	3085	94.6	3.7e-06	50.4	8.9	1-3085	38-221	939	96.4	4.8e-07	50.0	8.9	1524-2462	38-221	2	96.46326102217618
NP_620112.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Beet ringspot virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1204	1469	1252	1446	31-229(231)	95.5	0.026	1	2266	1252	1446	31-229(231)	86	0.92	1152	1546	1254	1446	33-229(231)	94.5	0.066	231	10.0	2266	86.0	5.5e-05	40.9	7.1	1-2266	31-229	266	95.5	1.6e-06	40.1	7.1	1204-1469	31-229	2	95.77756429151044
NP_620566.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Sadwavirus, Satsuma dwarf virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	905	1436	1167	1365	5-200(231)	96.2	0.014	1	2081	1167	1365	5-200(231)	93.6	0.14	1067	1465	1167	1365	5-200(231)	96.5	0.008	231	10.0	2081	93.6	8.6e-06	46.0	8.9	1-2081	5-200	532	96.2	8.5e-07	45.3	8.9	905-1436	5-200	2	96.34543232070173
NP_919040.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Tobacco ringspot virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1219	1511	1307	1475	49-215(231)	95.3	0.036	1	2304	1307	1473	49-213(231)	87.8	0.7	1207	1575	1307	1475	49-215(231)	94.8	0.055	231	10.0	2304	87.8	4.2e-05	41.7	7.4	1-2304	49-213	293	95.3	2.2e-06	39.9	7.3	1219-1511	49-215	2	95.91138785464125
YP_004429248.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Grapevine Bulgarian latent virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1115	1402	1155	1346	27-204(231)	96.4	0.0084	1	2095	1155	1346	27-204(231)	91.2	0.34	1055	1446	1155	1345	27-203(231)	96	0.016	231	10.0	2095	91.2	2e-05	43.4	8.0	1-2095	27-204	288	96.4	5e-07	43.2	8.0	1115-1402	27-204	2	96.45276141921921
YP_006347591.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Grapevine deformation virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	882	1487	1263	1453	29-218(231)	95.7	0.022	1	2284	1263	1452	29-217(231)	92.1	0.23	1163	1553	1263	1453	29-218(231)	96.3	0.0083	231	10.0	2284	92.1	1.4e-05	45.0	8.0	1-2284	29-217	606	95.7	1.3e-06	44.9	7.8	882-1487	29-218	2	95.72773313477165
YP_009316187.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, unassigned Secoviridae, Dioscorea mosaic associated virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	625	1216	977	1170	13-205(231)	96.5	0.021	1	1887	977	1170	13-205(231)	94.9	0.15	877	1270	1000	1170	34-205(231)	96.8	0.009	231	10.0	1887	94.9	9.3e-06	45.3	11.8	1-1887	13-205	592	96.5	1.3e-06	44.9	11.8	625-1216	13-205	2	96.60319856450208
YP_009342468.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, unclassified Nepovirus, Petunia chlorotic mottle virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	865	1466	1242	1443	31-230(231)	96.2	0.0016	1	2316	1242	1443	31-230(231)	94.1	0.017	1142	1543	1242	1443	31-230(231)	96.7	0.00055	231	10.0	2316	94.1	1e-06	52.8	3.6	1-2316	31-230	602	96.2	9.8e-08	51.6	3.6	865-1466	31-230	2	96.46935881952922
YP_009351878.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Peach rosette mosaic virus	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	809	1457	1215	1405	30-204(231)	95.8	0.005	1	2167	1215	1405	30-204(231)	93.1	0.044	1115	1505	1215	1405	30-204(231)	96.5	0.0015	231	10.0	2167	93.1	2.6e-06	49.6	4.4	1-2167	30-204	649	95.8	3e-07	49.2	4.4	809-1457	30-204	2	95.87445356631484
YP_009010972.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Posavirus 2	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	370	2032	1789	1981	38-228(231)	96	0.026	1	3347	1789	1981	38-228(231)	94.9	0.086	1689	2081	1789	1981	38-228(231)	97.3	0.0018	231	10.0	3347	94.9	5.2e-06	49.8	10.7	1-3347	38-228	1663	96.0	1.5e-06	49.8	10.7	370-2032	38-228	2	96.00526706367972
YP_009270629.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Picornavirales Bu-1	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	810	1692	1456	1644	40-225(231)	96	0.0097	1	3027	1456	1644	40-225(231)	93.8	0.074	1356	1744	1456	1644	40-225(231)	96.9	0.0016	231	10.0	3027	93.8	4.4e-06	49.7	7.4	1-3027	40-225	883	96.0	5.8e-07	49.2	7.4	810-1692	40-225	2	96.13196322867094
YP_009407937.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Solenopsis invicta virus 4	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	874	1781	1548	1737	36-228(231)	95.8	0.013	1	2297	1548	1737	36-228(231)	93.7	0.063	1448	1837	1520	1737	6-228(231)	96.8	0.0064	231	10.0	2297	93.7	3.8e-06	48.8	6.7	1-2297	36-228	908	95.8	7.6e-07	48.6	7.2	874-1781	36-228	2	95.7234255902834
YP_009329824.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Bivalve RNA virus G4	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	651	1080	873	1054	46-231(231)	97.1	0.0015	1	2415	873	1054	46-231(231)	94.8	0.051	773	1154	873	1054	46-231(231)	97.2	0.0012	231	10.0	2415	94.8	3.1e-06	49.7	8.6	1-2415	46-231	430	97.1	8.9e-08	49.8	8.7	651-1080	46-231	2	97.06491708609795
YP_009333341.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai paphia shell virus 3	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1799	2098	1839	2056	1-231(231)	97	0.0077	1	2900	1839	2056	1-231(231)	93.8	0.32	1739	2156	1839	2056	1-231(231)	96.9	0.011	231	10.0	2900	93.8	1.9e-05	45.1	11.9	1-2900	1-231	300	97.0	4.6e-07	43.7	11.9	1799-2098	1-231	2	97.21186024814268
YP_009333397.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 1	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1	1205	942	1149	4-229(231)	95.4	0.059	1	1703	942	1149	4-229(231)	94.7	0.11	842	1249	942	1149	4-229(231)	96.6	0.01	231	10.0	1703	94.7	6.3e-06	45.9	10.1	1-1703	4-229	1205	95.4	3.5e-06	45.9	10.1	1-1205	4-229	2	95.38175506381802
YP_009333403.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 2	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1002	1459	1134	1322	9-221(231)	96.1	0.0057	1	1914	1134	1322	9-221(231)	93.9	0.047	1034	1422	1134	1322	9-221(231)	96.3	0.0041	231	10.0	1914	93.9	2.8e-06	48.8	6.0	1-1914	9-221	458	96.1	3.4e-07	46.8	6.0	1002-1459	9-221	2	96.50709500013627
YP_009333445.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 52	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	981	1359	1037	1239	19-227(231)	95.8	0.052	1	2956	1037	1239	19-227(231)	88.6	1.3	937	1339	1037	1239	19-227(231)	95.6	0.066	231	10.0	2956	88.6	7.9e-05	40.9	10.0	1-2956	19-227	379	95.8	3.1e-06	40.3	10.0	981-1359	19-227	2	95.9515575599609
YP_009333491.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 102	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	488	958	708	831	88-228(231)	96.1	0.0027	1	1354	632	831	14-228(231)	94.9	0.023	608	931	708	831	88-228(231)	96.6	0.001	231	10.0	1354	94.9	1.4e-06	49.0	6.3	1-1354	14-228	471	96.1	1.6e-07	48.9	4.2	488-958	88-228	2	96.56025426897362
YP_009333571.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 2	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1624	2026	1917	1967	172-224(231)	96.6	0.00057	1	2536	1917	1967	172-224(231)	93.8	0.017	1817	2067	1917	1967	172-224(231)	97.1	0.00016	231	10.0	2536	93.8	1e-06	53.3	2.9	1-2536	172-224	403	96.6	3.4e-08	51.8	2.9	1624-2026	172-224	2	96.85728911360228
YP_009333583.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 19	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	3	954	1320	1156	1209	170-226(231)	96	0.0038	1	1765	1156	1209	170-226(231)	91.5	0.086	1056	1309	1156	1209	170-226(231)	96.4	0.0018	231	10.0	1765	91.5	5.2e-06	46.7	4.2	1-1765	170-226	367	96.0	2.3e-07	46.6	4.2	954-1320	170-226	4	96.00253722727028
YP_009333585.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 122	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1421	1994	1791	1969	16-222(231)	96.5	0.0051	1	2514	1791	1952	16-203(231)	93.7	0.11	1691	2069	1791	1952	16-203(231)	96.6	0.0052	231	10.0	2514	93.7	6.3e-06	47.8	8.3	1-2514	16-203	574	96.5	3.1e-07	48.4	8.1	1421-1994	16-222	2	96.47207235731385
YP_009336505.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang picorna-like virus 16	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	840	1734	1362	1582	1-230(231)	96.7	0.013	1	3441	1362	1582	1-230(231)	95	0.11	1262	1682	1362	1582	1-230(231)	97.3	0.0021	231	10.0	3441	95.0	6.5e-06	49.2	11.9	1-3441	1-230	895	96.7	7.8e-07	48.4	11.9	840-1734	1-230	2	96.77746054190669
YP_009336535.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 4	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	570	1474	1186	1374	37-221(231)	95.9	0.0053	1	2948	1186	1374	37-221(231)	94.4	0.03	1086	1474	1186	1374	37-221(231)	96.9	0.00083	231	10.0	2948	94.4	1.8e-06	52.3	6.1	1-2948	37-221	905	95.9	3.2e-07	50.9	5.5	570-1474	37-221	2	96.35029323557583
YP_009336770.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 23	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1037	1541	1362	1420	171-229(231)	96.7	0.00077	1	2891	1362	1420	171-229(231)	94.4	0.017	1262	1520	1362	1420	171-229(231)	97.2	0.00018	231	10.0	2891	94.4	1e-06	53.9	4.5	1-2891	171-229	505	96.7	4.6e-08	52.4	4.5	1037-1541	171-229	2	96.93943065235267
YP_009336794.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 15	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	3	751	1113	978	1028	177-228(231)	96.1	0.0013	1	1578	978	1028	177-228(231)	93.4	0.017	878	1128	978	1028	177-228(231)	96.6	0.00049	231	10.0	1578	93.4	1e-06	50.7	2.1	1-1578	177-228	363	96.1	7.5e-08	49.2	2.1	751-1113	177-228	4	96.42556601624005
YP_009336898.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 41	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	538	950	863	919	168-231(231)	95.5	0.0029	1	1432	862	919	167-231(231)	92.6	0.023	763	1019	863	919	168-231(231)	96.5	0.00049	231	10.0	1432	92.6	1.4e-06	49.4	1.7	1-1432	167-231	413	95.5	1.7e-07	47.9	1.8	538-950	168-231	2	95.86294886974244
YP_009336902.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe picorna-like virus 14	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	3	1363	1686	1385	1595	6-221(231)	95.5	0.043	1	3170	1385	1595	6-221(231)	84.8	1.6	1285	1695	1385	1595	6-221(231)	95	0.068	231	10.0	3170	84.8	9.4e-05	40.6	8.4	1-3170	6-221	324	95.5	2.6e-06	40.0	8.4	1363-1686	6-221	3	95.70609858563071
YP_009337057.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 37	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1228	1744	1666	1717	173-222(231)	95.2	0.0054	1	2275	1666	1717	173-222(231)	90.7	0.062	1566	1817	1666	1717	173-222(231)	96.3	0.0012	231	10.0	2275	90.7	3.7e-06	48.9	2.5	1-2275	173-222	517	95.2	3.2e-07	47.7	2.5	1228-1744	173-222	2	95.55384257573057
YP_009337153.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 20	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	455	1088	926	981	174-230(231)	95.8	0.0039	1	1572	926	981	174-230(231)	93.9	0.025	826	1081	926	981	174-230(231)	97	4e-04	231	10.0	1572	93.9	1.5e-06	49.7	4.1	1-1572	174-230	634	95.8	2.4e-07	49.7	4.1	455-1088	174-230	2	95.8613913996899
YP_009337644.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia atyid shrimp virus 2	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1	1600	1462	1525	165-227(231)	95.4	0.0049	1	3230	1462	1525	165-227(231)	93.8	0.018	1362	1625	1478	1525	177-227(231)	97	0.00022	231	10.0	3230	93.8	1.1e-06	54.3	3.2	1-3230	165-227	1600	95.4	2.9e-07	54.4	3.2	1-1600	165-227	2	95.31921979097143
YP_009337666.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 35	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	1585	2345	2106	2310	6-221(231)	95.8	0.0056	1	2904	2106	2310	6-221(231)	92.8	0.057	2006	2410	2106	2310	6-221(231)	96.5	0.0015	231	10.0	2904	92.8	3.4e-06	50.3	5.0	1-2904	6-221	761	95.8	3.4e-07	49.8	5.0	1585-2345	6-221	2	95.94525510056415
YP_009337691.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia picorna-like virus 4	PF12381.7	Peptidase_C3G, Tungro spherical virus-type peptidase	0	2	166	889	562	792	6-230(231)	96.5	0.028	1	2317	562	792	6-230(231)	95	0.18	462	892	562	792	6-230(231)	97	0.0098	231	10.0	2317	95.0	1.1e-05	45.8	12.8	1-2317	6-230	724	96.5	1.7e-06	45.3	12.8	166-889	6-230	2	96.62608086860895
